Date	Amount
4/24/1999	157.00
4/26/1999	157.622
4/27/1999	157.309
4/28/1999	156.864
4/29/1999	157.682
4/30/1999	157.756
5/1/1999	157.00
5/3/1999	158.176
5/4/1999	158.432
5/5/1999	157.279
5/6/1999	154.835
5/7/1999	155.022
5/10/1999	155.982
5/11/1999	154.892
5/12/1999	156.864
5/13/1999	157.264
5/14/1999	157.012
5/15/1999	157.00
5/17/1999	157.086
5/18/1999	156.569
5/19/1999	157.458
5/20/1999	157.458
5/21/1999	158.131
5/22/1999	157.00
5/23/1999	157.00
5/25/1999	157.637
5/26/1999	158.206
5/27/1999	160.79
5/28/1999	160.171
5/30/1999	160.171
5/31/1999	160.171
6/1/1999	160.48
6/2/1999	161.336
6/3/1999	161.869
6/4/1999	162.661
6/5/1999	162.00
6/7/1999	163.027
6/8/1999	161.258
6/9/1999	159.863
6/10/1999	159.633
6/11/1999	159.099
6/12/1999	160.00
6/14/1999	159.557
6/15/1999	161.101
6/16/1999	161.055
6/17/1999	161.791
6/18/1999	162.661
6/19/1999	161.00
6/21/1999	161.414
6/22/1999	162.185
6/23/1999	162.232
6/25/1999	160.171
6/26/1999	160.171
6/28/1999	160.403
6/29/1999	161.743
6/30/1999	162.059
7/1/1999	161.712
7/2/1999	163.798
7/5/1999	163.54
7/6/1999	163.894
7/7/1999	163.428
7/8/1999	164.283
7/9/1999	163.943
7/12/1999	164.738
7/13/1999	165.245
7/14/1999	164.983
7/15/1999	163.781
7/16/1999	164.25
7/17/1999	165.00
7/19/1999	165.065
7/20/1999	162.82
7/21/1999	160.326
7/22/1999	159.618
7/23/1999	159.465
7/26/1999	158.992
7/27/1999	157.086
7/28/1999	157.086
7/29/1999	156.687
7/30/1999	156.348
8/2/1999	157.309
8/3/1999	157.0124
8/4/1999	155.196
8/5/1999	155.53
8/6/1999	156.055
8/7/1999	155.00
8/9/1999	156.643
8/10/1999	156.055
8/11/1999	156.3925
8/12/1999	157.31
8/13/1999	156.864
8/16/1999	158.056
8/17/1999	159.068
8/18/1999	158.871
8/19/1999	159.404
8/20/1999	156.864
8/23/1999	157.086
8/24/1999	160.063
8/25/1999	159.434
8/26/1999	160.635
8/27/1999	160.387
8/29/1999	160.00
8/30/1999	160.294
8/31/1999	158.947
9/1/1999	157.607
9/2/1999	158.041
9/3/1999	156.79
9/6/1999	158.191
9/7/1999	159.175
9/8/1999	157.532
9/9/1999	157.607
9/10/1999	159.099
9/13/1999	161.445
9/14/1999	161.948
9/15/1999	162.106
9/16/1999	160.171
9/17/1999	161.257
9/20/1999	160.402
9/21/1999	160.557
9/22/1999	159.556
9/23/1999	160.279
9/24/1999	159.71
9/27/1999	160.017
9/28/1999	160.094
9/29/1999	159.023
9/30/1999	157.012
10/1/1999	156.466
10/4/1999	155.762
10/5/1999	156.864
10/6/1999	155.982
10/7/1999	156.23
10/8/1999	156.716
10/11/1999	157.607
10/12/1999	160.00
10/13/1999	155.428
10/14/1999	155.399
10/15/1999	154.175
10/18/1999	154.118
10/19/1999	154.533
10/20/1999	154.979
10/21/1999	155.283
10/22/1999	155.268
10/24/1999	157.145
10/25/1999	157.145
10/26/1999	157.234
10/27/1999	157.741
10/28/1999	158.12
10/29/1999	158.947
11/2/1999	159.068
11/3/1999	159.404
11/4/1999	159.71
11/5/1999	161.414
11/8/1999	160.774
11/9/1999	161.179
11/10/1999	161.023
11/11/1999	160.48
11/12/1999	161.555
11/15/1999	162.185
11/16/1999	162.027
11/17/1999	161.101
11/18/1999	160.635
11/19/1999	162.311
11/21/1999	163.139
11/22/1999	163.139
11/23/1999	162.185
11/24/1999	163.363
11/25/1999	164.348
11/26/1999	165.229
11/28/1999	165.229
11/29/1999	165.229
11/30/1999	166.053
12/1/1999	165.591
12/2/1999	166.552
12/3/1999	167.003
12/8/1999	163.379
12/9/1999	163.379
12/10/1999	164.705
12/13/1999	165.196
12/14/1999	165.971
12/15/1999	166.635
12/16/1999	164.738
12/17/1999	163.846
12/20/1999	166.219
12/21/1999	165.475
12/22/1999	165.971
12/23/1999	165.971
12/24/1999	165.147
12/26/1999	165.049
12/27/1999	165.049
12/28/1999	165.229
12/29/1999	166.053
12/30/1999	166.552
12/31/1999	166.552
1/2/2000	165.607
1/3/2000	165.607
1/4/2000	163.652
1/5/2000	161.492
1/7/2000	162.391
1/10/2000	163.123
1/11/2000	162.502
1/12/2000	161.869
1/13/2000	162.565
1/14/2000	163.299
1/16/2000	165.311
1/17/2000	165.311
1/18/2000	165.229
1/19/2000	165.065
1/20/2000	165.525
1/21/2000	164.705
1/23/2000	166.686
1/24/2000	166.686
1/25/2000	166.719
1/26/2000	166.736
1/27/2000	167.39
1/28/2000	170.268
1/31/2000	170.827
2/1/2000	172.707
2/2/2000	172.349
2/3/2000	171.992
2/4/2000	168.919
2/7/2000	170.512
2/8/2000	171.073
2/9/2000	169.25
2/10/2000	169.074
2/11/2000	169.85
2/14/2000	169.418
2/15/2000	170.599
2/16/2000	170.809
2/17/2000	168.645
2/18/2000	169.418
2/21/2000	169.418
2/22/2000	167.222
2/23/2000	166.719
2/24/2000	167.727
2/25/2000	169.297
2/28/2000	173.644
2/29/2000	172.028
3/1/2000	172.778
3/2/2000	171.939
3/3/2000	173.282
3/6/2000	174.226
3/7/2000	174.72
3/8/2000	174.372
3/9/2000	174.372
3/10/2000	172.976
3/13/2000	172.384
3/14/2000	174.153
3/15/2000	172.78
3/16/2000	172.76
3/17/2000	172.886
3/20/2000	172.028
3/21/2000	172.206
3/22/2000	174.189
3/23/2000	174.007
3/24/2000	172.206
3/27/2000	171.514
3/28/2000	173.282
3/29/2000	175.18
3/30/2000	175.457
3/31/2000	175.087
4/3/2000	175.79
4/4/2000	174.78
4/5/2000	173.644
4/6/2000	174.116
4/7/2000	174.922
4/9/2000	175.00
4/10/2000	175.18
4/11/2000	173.862
4/12/2000	174.922
4/13/2000	174.738
4/14/2000	175.198
4/17/2000	174.08
4/18/2000	176.761
4/19/2000	177.025
4/20/2000	178.3535
4/21/2000	176.00
4/25/2000	178.659
4/26/2000	181.663
4/27/2000	181.922
4/28/2000	184.3612
5/2/2000	183.75
5/3/2000	186.114
5/4/2000	187.456
5/5/2000	187.224
5/8/2000	186.218
5/9/2000	186.677
5/10/2000	184.157
5/11/2000	184.955
5/12/2000	186.01
5/15/2000	182.801
5/16/2000	184.463
5/17/2000	187.034
5/18/2000	187.667
5/19/2000	187.35
5/22/2000	185.9061
5/23/2000	183.547
5/24/2000	184.668
5/25/2000	185.8023
5/26/2000	183.103
5/28/2000	185.00
5/29/2000	180.6187
5/30/2000	178.621
5/31/2000	180.168
6/1/2000	178.89
6/2/2000	178.928
6/5/2000	177.4594
6/6/2000	176.387
6/7/2000	174.738
6/8/2000	174.683
6/9/2000	175.106
6/12/2000	176.387
6/13/2000	174.885
6/14/2000	173.898
6/15/2000	175.364
6/16/2000	175.827
6/19/2000	173.1924
6/20/2000	174.408
6/21/2000	175.995
6/22/2000	177.478
6/23/2000	179.044
6/26/2000	179.799
